id,"nombre","nombrecorrecto",idip,"nombreviejo",idp,year,"foto","link","bloque","region","distrito",idprov
837,"PORTO, Hector Norberto","PORTO, Héctor Norberto",449,NULL,-0.574453823295757,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PERONISMO FEDERAL","BUENOS AIRES","BUENOS AIRES",6
838,"PRIETO, Hugo Nelson","PRIETO, Hugo Nelson",451,NULL,-0.906063991307947,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","CUYO","NEUQUEN",58
839,"PUIGGROS, Adriana Victoria","PUIGGROS, Adriana Victoria",454,NULL,-0.962481035923195,2008,"apuiggros_medium.jpg","http://s6.postimage.org/v90aihikd/apuiggros_medium.jpg","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","BUENOS AIRES",6
840,"QUIROZ, Elsa Siria","QUIROZ, Elsa Siria",457,NULL,1.32337168274999,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","COALICION CIVICA - ARI","BUENOS AIRES","BUENOS AIRES",6
841,"RAIMUNDI, Carlos Alberto","RAIMUNDI, Carlos Alberto",458,NULL,0.380376931467792,2008,"craimundi_medium.jpg","http://s6.postimage.org/qv0zy4mrh/craimundi_medium.jpg","NUEVO ENCUENTRO","BUENOS AIRES","BUENOS AIRES",6
842,"RECALDE, Hector Pedro","RECALDE, Héctor Pedro",461,NULL,-0.781325975179059,2008,"hrecalde_medium.jpg","http://s6.postimage.org/upr2euipp/hrecalde_medium.jpg","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","BUENOS AIRES",6
843,"REJAL, Jesus Fernando","REJAL, Jesús Fernando",464,NULL,-0.319102100427251,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NOROESTE","LA RIOJA",46
844,"REYES, Maria Fernanda","REYES, María Fernanda",465,NULL,1.46019069149315,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","COALICION CIVICA - ARI","CABA","CIUDAD de BUENOS AIRES",2
845,"RICO, Maria del Carmen Cecilia","RICO, María del Carmen Cecilia",467,NULL,-1.13472662970145,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO JUSTICIALISTA","BUENOS AIRES","BUENOS AIRES",6
846,"RIOBOO, Sandra Adriana","RIOBOO, Sandra Adriana",469,NULL,1.01829694988463,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","UNION CIVICA RADICAL","BUENOS AIRES","BUENOS AIRES",6
